,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_60d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_60d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_60d15h,GPV_average,Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,1011.736045765972,1010.4830223756942,1010.1173347388893,1007.8569162812499,1008.6679012090285,1008.838564954861,1008.8351132680551,1009.0984274923612,1008.7486397229163,1009.375773978781,1011.3210195423611,1008.8665968173611,1008.651903697223,1008.6049572479171,1009.6286977097227,1009.1475391611116,1009.0960441763885,1009.2394616868054,1009.2127334499996,1009.3076614987656,1011.0688112569446,1009.6803822888887,1008.7856403062503,1006.8863330055553,1008.3188301562495,1007.9277498916666,1007.7618885138886,1007.8517602541667,1007.4849644499999,1008.4184844581788,1011.2791666666661
std,0.6605279232527702,0.4733598972601123,0.4010935568651817,0.5806537796469723,0.4468235285212583,0.434574785587411,0.4566981003040759,0.4572424783942918,0.4941344811004235,0.4387215626932357,0.6437508984884496,0.5196335440880356,0.5596005604348584,0.48415722358948116,0.3034561057809968,0.4314972665928907,0.3327125866463673,0.3248623070586971,0.3807318810417765,0.3418919078064782,0.7162984407327614,0.5398421234651315,0.6176844729541241,0.8462733921168181,0.6737226723421333,0.714516380477199,0.5691559481869363,0.685035216696278,0.7065306230273093,0.5764831138916663,1.0071187588583823
min,1010.5236412,1009.5467478,1009.5273685,1006.8836103,1007.8258246,1008.0661877,1008.1156541,1008.3755882,1007.8955956,1008.5850599666667,1010.2352613,1007.9917029,1007.704694,1007.6902181,1009.1477217,1008.2336715,1008.5043873,1008.701979,1008.5082403,1008.686885577778,1009.5569848,1008.7489029,1007.655474,1005.5325986,1007.1201511,1006.7286493,1006.7269419,1006.6502651,1006.2580572,1007.5394860111111,1009.8
25%,1011.1253749,1010.04562915,1009.7746286,1007.335680475,1008.3289818,1008.5148098,1008.4517193,1008.713741075,1008.390927125,1009.0551313222222,1010.710061925,1008.5143272,1008.330780675,1008.363088275,1009.405109,1008.91430395,1008.7986075,1008.942607425,1008.9377953999999,1009.0668351388888,1010.5596766250001,1009.20313295,1008.24430465,1006.3866315,1007.75683975,1007.47875475,1007.2177554250001,1007.3663405,1007.109336,1007.8623772722223,1010.2
50%,1011.8396029,1010.5762647500001,1010.06604885,1007.9727266,1008.61252815,1008.8437762000001,1008.7995730499999,1009.0450452,1008.6712656,1009.2913505666667,1011.1912034,1008.899075,1008.61410965,1008.588638,1009.6124589000001,1009.1509025,1009.10969075,1009.2808663,1009.1832671,1009.3513025222221,1011.2672994,1009.6982051,1008.8733855,1006.81247445,1008.34874595,1007.9556627,1007.8228033,1007.8348510000001,1007.4856341,1008.4957052333334,1011.25
75%,1012.3277994,1010.935274925,1010.435664125,1008.3193567000001,1009.0293947499999,1009.10488665,1009.1222929,1009.449495975,1009.071850775,1009.7336157305556,1011.910490425,1009.043042925,1008.842595475,1008.85376775,1009.76016735,1009.438085825,1009.3154664250001,1009.4535736,1009.47788145,1009.4774438083334,1011.758865875,1010.088962875,1009.25643995,1007.35622985,1008.800734075,1008.2623675,1008.1436515749999,1008.2575805500001,1007.85223775,1008.7692900694444,1012.2
max,1012.771512,1011.1004259,1010.9377296,1008.9773337,1009.5877252,1009.7994507,1009.9017875,1010.1205002,1009.8651623,1010.2441115999999,1012.3142546,1010.0845931,1009.8926062,1009.6918744,1010.4159503,1010.1098294,1009.9113683,1010.0594657,1010.0398932,1010.1514006666667,1012.0259488,1010.6022033,1010.0709744,1008.7559688,1009.6595829,1009.5097968,1009.0246818,1009.2955195,1008.9623703,1009.6991451888888,1013.0
std_ratio,0.6558590210369137,0.47001398106881515,0.3982584509892762,0.5765494630495924,0.4436651830691291,0.4315030196439023,0.4534699570304551,0.45401048721662,0.4906417210027433,0.43562048550316723,0.6392005836711574,0.5159605453850004,0.5556450572613627,0.4807349871412352,0.3013111444026511,0.428447253908778,0.3303608275785798,0.32256603722379695,0.37804070045657223,0.3394752652547443,0.7112353279415828,0.5360262816244914,0.6133184071104973,0.8402915591365906,0.6689605038295886,0.7094658640726123,0.5651329033252265,0.6801930861389162,0.7015365534727959,0.5724082773963397,1.0
correlation,0.9024519419279934,0.6287710676672202,0.12733167765646589,-0.1472704091609783,0.2591037892842708,0.12007025802623061,0.0537699531509065,0.10255190629815635,0.14454694072037147,0.2963446363590406,0.9424628632801829,0.24414769108929144,-0.40915949758477044,-0.44670653563849955,0.0580490262872621,0.42767190582592357,0.29509287407492196,0.3335354160905428,0.3336286536927711,0.2678066757723291,0.9183038403898927,0.20876382039738928,0.0888598952361741,-0.5280878976870963,-0.3026612250545276,-0.3885203597872041,-0.01198132596894273,-0.354212360102993,-0.45293887867252275,-0.12962440166611974,1.0
bias,0.45687909930586557,-0.7961442909719381,-1.1618319277768023,-3.4222503854161914,-2.6112654576376144,-2.4406017118051295,-2.444053398611004,-2.180739174304904,-2.5305269437498055,-1.9033926878851162,0.041852875694985414,-2.4125698493049867,-2.627262969443109,-2.674209418749001,-1.6504689569434277,-2.1316275055545475,-2.183122490277583,-2.039704979860744,-2.0664332166664963,-1.9715051679005455,-0.21035540972150102,-1.598784377777406,-2.4935263604157853,-4.392833661110785,-2.960336510416596,-3.3514167749995067,-3.5172781527775214,-3.4274064124994084,-3.7942022166662355,-2.860682208487333,0.0
rmse,0.677235203010523,1.1281382535595907,1.556324739866326,3.638061082599207,2.792749734922712,2.656045600974539,2.6733491107750087,2.4258055232335973,2.74192551214815,2.1372393186323673,0.45650233712336774,2.6171090073785384,2.948074518468109,2.972494584555326,1.948060604524732,2.317888696697358,2.3860531396226983,2.2498825012395898,2.274540959339422,2.198541659165227,0.4966856976226574,1.9065218671549236,2.7391494660832687,4.682694815855714,3.2622852903568758,3.6491063246722875,3.704484831496228,3.7039744525416225,4.06866449524564,3.111372711061615,0.0
centered rmse,0.4999090005335401,0.7992810438743313,1.0355159426663498,1.2343786859138717,0.9903250939226552,1.047874762931152,1.083235178905782,1.0625013365637608,1.0557409251914984,0.9720535894749189,0.4545797186360186,1.0142811635457294,1.3373977178935887,1.2978166433975094,1.0348392827217245,0.9103692590572254,0.9629256344841581,0.9495129617408817,0.9504684827859317,0.9730122301511693,0.4499414226580001,1.0386116422001208,1.1336957649438104,1.6219257579344386,1.3707344968202153,1.443600557291355,1.1627391206878115,1.4043902693464358,1.469033802849426,1.2235756818363097,0.0
