,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_60d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_60d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_60d15h,GPV_average,LIDAR Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,2.659166805555555,4.170862708333336,3.0287138194444454,7.028152569444448,5.968684583333333,5.860239791666667,5.178871805555554,5.650818472222221,6.041461041666666,5.065219066358022,2.574873819444445,4.5273918055555535,4.144540416666666,6.548809861111111,5.499924513888888,5.467048888888886,6.263890069444442,5.906556388888887,5.51454798611111,5.160842638888887,3.38300125,3.2410135416666663,4.028813472222219,9.29599611111111,5.129832847222222,6.022838749999999,6.363572083333336,6.066601180555558,6.270025208333334,5.533521604938271,2.269791666666667
std,1.6450087358433405,1.9064720287379056,1.5210278028213522,2.6220849681571647,1.8414545412631602,1.921906647071134,1.722217089923082,1.9245255604276428,1.642911702219534,1.4248213344623801,1.645501082474574,1.0505222723243508,1.1701963815506655,2.63025110849151,2.2776924114922115,1.8402248420139946,2.0599063111551463,2.1071651222784324,2.0025363753207452,1.5092750100601364,1.9050437470016546,1.3919560492490162,1.8532324613223932,3.7068696828344025,1.8371591210513125,2.1880438539858167,1.6780460237161399,1.9717327125594581,2.0534903606478334,1.5189923954627373,1.641684208345367
min,0.29751,0.41783,0.10517,2.03269,0.6639,0.8719,0.60209,0.75596,1.02226,1.4379855555555556,0.25189,0.56935,1.36524,0.90328,0.25791,0.94458,1.60657,1.75626,0.79182,1.630477777777778,0.07116,0.13713,0.34167,1.33743,1.89292,2.21337,2.14943,1.89392,1.65353,2.345744444444444,0.19
25%,1.2659725,2.8262925,1.682925,5.408525,4.844425,4.864815,3.9244625,4.2798675,4.6479975,4.7706625,1.14676,4.0336775000000005,3.11386,5.34598,3.874975,4.34824,5.3487425,4.82974,4.1682749999999995,4.5205569444444444,1.762475,2.3544424999999998,2.4606149999999998,7.4530400000000006,3.7704575,4.19948,5.586295,5.500075,5.338685,5.015703333333334,0.8775
50%,2.33875,4.49161,3.2296750000000003,7.2118,6.45021,6.4111650000000004,5.52168,6.435115,6.55924,5.389643888888889,2.258795,4.66924,4.36675,6.749305,6.16479,5.84349,6.877750000000001,6.299655,5.839105,5.641054444444444,3.27523,3.36794,4.269795,8.721710000000002,5.1207,6.364895000000001,6.858105,6.428375,6.91475,5.916321666666667,1.78
75%,3.6819699999999997,5.6914549999999995,4.3008875,8.67483,7.206995,7.0902199999999995,6.6431875,7.0437225,7.102945,6.120989444444445,4.0881799999999995,5.2254325,5.150945,8.3051625,7.356395,6.971159999999999,7.7635525,7.672835,7.086555000000001,6.19781361111111,5.129720000000001,4.3711325,4.9308499999999995,11.1512875,6.281969999999999,7.6288975,7.3307425,7.505215,7.774312500000001,6.38302,3.58
max,6.14918,7.39187,5.65922,12.34232,10.36988,9.88672,8.39692,8.5726,9.46108,6.849506666666667,5.58528,6.41852,5.98623,12.36041,8.50207,8.20402,9.81845,10.79157,8.25736,7.411197777777777,6.52013,5.48316,8.42194,18.12427,10.47643,9.79149,9.78954,8.98002,10.15558,8.439216666666667,5.56
std_ratio,1.0020250712537,1.1612903499019551,0.9265044976916584,1.5971920512044953,1.1216862121851918,1.1706920474116027,1.049055038215226,1.1722873075372686,1.0007477040151371,0.8679021989852967,1.0023249746265477,0.6399052064849664,0.7128023621120726,1.602166296734076,1.3874120247449229,1.1209371648087754,1.254751858295147,1.2835386437701182,1.219806077893066,0.9193455126070292,1.1604203398665351,0.8478829498225796,1.1288605030746095,2.2579675579449656,1.1190697405215113,1.3328043498640452,1.0221490924904622,1.2010426259425024,1.2508437068524405,0.9252646688937276,1.0
correlation,0.8186176776141596,0.19403311050438835,0.5927478213093146,-0.08865357249489636,0.11184474701108377,-0.0010772367459692734,0.44207414380161264,0.13843090064876246,0.12806327492503633,0.2984955475275726,0.9096557699460892,0.3982320792151691,0.3640796309753691,-0.119636880752945,0.10576710069019907,0.26235464345004583,0.07395578573807392,0.10976301492552647,0.23383040149139955,0.2651855989392715,0.7473043492189685,0.4458714854484031,0.3563262552320314,-0.3556741201944147,-0.18664740610348127,-0.28193361142450574,-0.09091000862025174,-0.15977353500409916,-0.12237011042863062,-0.021392328415201414,1.0
bias,0.3893751388888882,1.9010710416666687,0.7589221527777785,4.758360902777781,3.6988929166666664,3.5904481250000004,2.909080138888887,3.3810268055555537,3.7716693749999988,2.7954273996913552,0.30508215277777806,2.2576001388888867,1.8747487499999989,4.279018194444443,3.230132847222221,3.1972572222222193,3.9940984027777753,3.6367647222222197,3.2447563194444435,2.8910509722222204,1.113209583333333,0.9712218749999995,1.7590218055555522,7.026204444444444,2.860041180555555,3.7530470833333323,4.09378041666667,3.7968095138888915,4.000233541666667,3.2637299382716045,0.0
rmse,1.063626231443118,2.9545311595192456,1.6199928174032732,5.742447015806633,4.369400177442838,4.391693028327031,3.4094165462699286,4.117709709781034,4.3507431606679905,3.338147893815397,0.7623649096265259,2.7426045678120157,2.486022502713924,5.381128015949839,4.186381296253714,3.836512190149624,4.731909574784016,4.427405922979899,3.9618521591751015,3.466566748201457,1.69976325702614,1.8810029622301903,2.6562314092823938,8.374513430574057,3.921222576336205,4.85731199972669,4.771884881142647,4.693930259752199,4.872256365064242,3.9700239792060783,0.0
centered rmse,0.989791776804166,2.2616770916969013,1.4312281070679607,3.2146071685763387,2.3259082315668986,2.5289622212955716,1.7780252898936424,2.350359758449713,2.1687499108441286,1.824504594140277,0.698659527585746,1.557280138020197,1.6326741892899015,3.26290392375468,2.6630865826929053,2.120465052792549,2.537350226685438,2.5250476355976783,2.2732859385888435,1.9128275656077751,1.2845075139955144,1.6108693967669243,1.9903285123914616,4.556854869724777,2.682564246890489,3.0835235450652956,2.451906853653758,2.759930940922287,2.7815487950122297,2.260344505932865,3.700743415417188e-17
